title,link,year,abstract,keyword
基于海绵城市理念的景观设计研究——以池州湿地公园为例,https://kns.cnki.net/kcms2/article/abstract?v=LYi8dJWcB0VgPXx-8X_PXvBlfxz9UNMALCTYHpD91qTZD1pcDWcBor742pzrVC2AwrgZJ2KnhBQW1tMKKZYLZpRB5Qh8ZxqyHMqTjpik23y2Uh4Wfo0ZCgpr0aZju1-_0zhX50giceJHOVHna--lk8rXZoGfDT_-CnijjFgUvUl_ESEfzIVFlg==&uniplatform=NZKPT&language=CHS,2025,随着城市化进程加快，人类活动发生改变，全球气候出现极端变化，城市洪涝灾害常有发生，城市水环境问题亟待解决。海绵城市理念的提出就是为了解决复杂的城市水资源难题，推动城镇化与现代化的可持续发展。以安徽池州湿地公园为案例进行研究是因为池州属于第一批海绵试点城市，具备指导性与前瞻性，采取实地调研走访等形式深度挖掘池州湿地公园的具体问题，遵循“渗滞为先、蓄排结合、净用相成”的设计原则，从景观设计的基本元素入手，探寻城市健康发展的有效出路，绘制人与自然和谐共处的理想蓝图，为其他城市提供建设范本，打造全域化绿色发展的美好人居环境。,内涝
海绵城市建设下排水管网可靠性诊断指标体系构建研究,https://kns.cnki.net/kcms2/article/abstract?v=LYi8dJWcB0VT9PLwQZkgICTlQl74JgXcmGi-AAxphAXKSbUgWCc4ofYu6i8L53VrgwzQRDxDRNvMzc5CKh3kvPBPle-LCBU8AiRZ-vBbkJURtXvpP77moRUQFT-JwEhqfBBiwS4SgAmucK2UUsicTQWvnvqIixk4QDmbEOoNBLFRKFHJL7Pe3w==&uniplatform=NZKPT&language=CHS,2025,获取摘要失败,内涝
指挥联络不间断  险情处置更高效,https://kns.cnki.net/kcms2/article/abstract?v=LYi8dJWcB0VT9PLwQZkgICTlQl74JgXcp4La3dgUMu1Y1XRz6jMyz-h_I0q75TEjSVR6YJMDgcfs1bo9lutCKIFmqoZ3L-pimddkSsOxJep5nmuf1H9h4PWUD5ah6NDpSDWapX2yyCN_PVgoh_h5O-BlXEqMjfKu5a2UQeQsCUmRtxkuQtlh6w==&uniplatform=NZKPT&language=CHS,2025,“西安城墙变成巨型生态缸”等话题日前火遍全网，持续阴雨天气导致陕西省西安市古城墙部分墙体长出青苔的图片引发舆论关注。9月2日至10月17日连续40余天出现阴雨天气，平均降雨量433.8毫米，较常年同期偏多2倍，经历超长超强秋雨过程……9月以来，持续阴雨、短时暴雨等灾害性......,内涝
“海绵城市”理念在高层建筑综合体设计中的应用策略研究,https://kns.cnki.net/kcms2/article/abstract?v=LYi8dJWcB0VT9PLwQZkgICTlQl74JgXcmGi-AAxphAVymC9l2wGwVMO7kZxkukWg4GCKpEPi_5e0SGzyrjcNSgSGzSTOj0O6LuDtRsfSwRsnRmeWx__UaMPCgqYX0ojiVA8ctZPoyZfU7ebrjshaMFMLjCAy_xVQDAyCdPcnlZdZy6UWi2FdTg==&uniplatform=NZKPT&language=CHS,2025,海绵城市理念是一种创新的城市雨洪管理理念，能较好地解决城市内涝和水资源短缺问题。从海绵城市的内涵展开叙述，在阐述海绵城市理念的基础上，结合实际案例，就如何在高层建筑综合体内设置海绵城市设施等问题进行研究探讨，供后来者参考。,内涝
雨水管网健康评估综述,https://kns.cnki.net/kcms2/article/abstract?v=LYi8dJWcB0VT9PLwQZkgICTlQl74JgXcKA0V-RKbBNVqY-K-BZH674MrIS2Kv3HF9uQvfL0_8exwlWldvbyM06bhZ8A1m_eJ-1fmVwt1NXzuPCjGcTGRT5O2Klc-OiKA4lemdv3MWJ3nHkagO4518N1iMQUfu6VXFr10PwiV6M5mMYSKEuUc_A==&uniplatform=NZKPT&language=CHS,2025,大多数城市都遭遇着诸如雨水内涝、非点源污染等问题，而这些问题的根源都与雨水管网系统不健康的运行状态密切相关。为了系统地了解和认识雨水管网健康评估的研究进展，文章首先归纳总结了我国各地方相关标准中的检测方法和缺陷指标的定义、分类及优缺点，其次有序梳理了2014—2024年的国内相关文献，整理归纳了雨水管网健康评估方法研究进展，最后基于研究不足的现状和技术的发展，提出雨水管网健康评估方法应向智慧化和数字化方向发展的建议。,内涝
从治标到治本的跨越,https://kns.cnki.net/kcms2/article/abstract?v=LYi8dJWcB0XjJzY5O5rSc-MunbEMLqtzUM--VACnbXVZXiy1HK-Cwl1DwvG5wl13JUN3nbyg9Rlqonjrtqv8f8tlWZQXJrJqqXzKhpT90G4hRqZ0rKPdiFSrB0vx7S52Q2YDSTXCvdyb7Msm2VshpFXAKL712KPU430MIqXqKgAA43lWPPwu1Q==&uniplatform=NZKPT&language=CHS,2025,"秋雨绵绵的夜晚，市中心城区新华路上，车辆平稳穿行，行人步履从容。“以前这里可是出了名的‘看海点’，雨稍大点，积水就能没过膝盖。”路边商铺里避雨的高先生感慨道，“今年夏天以来，我市下了好几场大雨，这条路居然没积水，真没想到!”
不远处，市城市管理局的工作人员......",内涝
山海之城如何更加安全更有韧性,https://kns.cnki.net/kcms2/article/abstract?v=LYi8dJWcB0XjJzY5O5rSc-MunbEMLqtzUM--VACnbXV0IqIAKL2q_EedHVeM2MdDvWEX-H3JXGeZqo0MRGl0f42EGBKPGzSwhCkdNNab4NO6fuNrEM8Aoo7xBH3rWwzFPP4BLaC0fynGmutl3AUFEnjIoN1TELiyFA9o6mVHsBQEjK6IClPLgg==&uniplatform=NZKPT&language=CHS,2025,"福建省福州市是一座山海相连的城市，台风多、雨量大、汛期长。做好防洪排涝工作，守护人民群众生命财产安全，历来是福州市的头等大事。
习近平总书记在福州市工作期间，曾亲自擘画并前瞻性地提出“全党动员、全民动手、条块结合、齐抓共治”的治水方略。福州市委、市政府牢......",内涝
南方丘陵地区城市内涝风险评估关键影响因素分析——株洲市案例,https://kns.cnki.net/kcms2/article/abstract?v=LYi8dJWcB0XjJzY5O5rSc-MunbEMLqtzv5gw7_OjF7T_5noU4SuxbQNhxU3sx49sRUgs01Y0oO8ONUwA9WXKRhWKASU1rXFUjkQuibLndd-93cToJRvyaLhdskR1-_YiLKgulT_DtxbSO8Q_FwFbxuSG_j9eNnmJmie-UKBebJy4YAAsL3p4yA==&uniplatform=NZKPT&language=CHS,2025,【目的】在城市快速发展和气候变化背景下，内涝灾害成为很多城市面临的主要风险之一。因地制宜地评估城市内涝风险，编制城市内涝风险图是支撑城市内涝治理工作的重要手段。南方丘陵地区因其特殊的地貌山水特征，评估城市内涝风险需考虑流域层面系统性与城市层面精细度。【方法】文章以株洲市为例，除考虑常规的地形、水系、排水管网以外，文章采用控制变量法对排水分区设定不同的边界条件构建城市排水防涝模型，模拟30年一遇降雨条件下的城市排涝能力，评估不同边界条件下的城市内涝风险，分析南方丘陵地区城市内涝风险评估关键影响因素。【结果】对比设置不同边界条件前后的城市内涝风险，设置过境河道水位顶托、排涝通道卡脖子点和上游客水为边界条件后，排水分区内风险区总面积分别增加0.089、0.038 km2和0.138 km2，占设置相应边界条件前的风险区总面积比例分别为16.5%、10.7%和34.5%。结果证明，这3个边界条件为影响南方丘陵地区城市内涝风险的关键因素。【结论】文章以南方丘陵地区典型城市为例研究影响城市内涝风险的关键因素，以期为其他类似城市评估内涝风险、编制内涝风险地...,内涝
基于InfoWorks ICM模型的集美大道,https://kns.cnki.net/kcms2/article/abstract?v=LYi8dJWcB0XjJzY5O5rSc-MunbEMLqtzv5gw7_OjF7Qy1jwxHfUdPug0Evm8n0UY2nAyS37MxXPQp0vidBvGOZFz2AmQ7LEwYG6Avgr1fjjDbC_9mCNaPFiyf4ErL7rsBkXUBFejvmWCJE-hedSReHFKdmDbSpfyr5BCYwbqlZg_HNBNp_ep4g==&uniplatform=NZKPT&language=CHS,2025,针对厦门市集美大道田集连接线区域的内涝治理需求，研究基于Infoworks ICM建模平台，构建了耦合城市排水管网系统与二维地表漫流的高精度水文水动力模型，创新性地提出了“横向地表分流–纵向管网扩容–立体调蓄”的协同治理技术方案。数值模拟验证表明：实施综合治理方案后，在50年一遇设计降雨条件下，原60～80 cm的严重积水区域水位显著降低至15 cm安全阈值以下，且积水消退时间由原先数小时缩短至30 min以内。,内涝
基于水动力学的数学模型在城市排水系统设计中的应用——以贵阳市花果园小区为例,https://kns.cnki.net/kcms2/article/abstract?v=LYi8dJWcB0VBrwrnOz8DO3islFi6HzoWTUuh5hUs-jCw_YgyRqM0YZsyyfTQEY1Gp8cLwBSZGwhZJ3vDa-fLCPQvLYB5NIzRphvB_ZZre_HuRVmDpg27tzmI89DISr9a9qCAoZiSKHPQQzaMpyVxVrPFhdW99D2bLeQmKaL56mkwsueC-Va_-w==&uniplatform=NZKPT&language=CHS,2025,【目的】文章探讨基于三维水动力耦合模型的高密度山地城市精细化排水系统设计方法，以应对城市化进程加速与极端气候叠加效应带来的城市内涝治理难题。突破传统经验公式法在复杂地形适应性、动态水文响应模拟等方面的技术局限，为提升城市韧性提供科学依据。研究聚焦于贵阳市花果园BE、DM、Q区，根据《室外排水设计标准》（GB 50014—2021）关于大型汇水区（≥2 km2）须采用数学模型法的要求，构建三维水动力耦合模型体系，包括地形高程数据、建筑矢量数据和管网拓扑结构的多源数据融合。【方法】利用InfoWorks ICM软件建立包含地形高程数据、建筑矢量数据和管网拓扑结构的多源数据融合模型。引入动态降雨边界条件，选择贵阳市短历时暴雨强度公式和贵安新区长历时设计降雨作为设计降雨条件。采用二维有限体积法求解浅水流方程组，利用Rienmann求解器、TVD激震抓取模型技术，适用于洪水流量变化快的情况。通过对2023年6月花果园小区实测内涝事件（99.8 mm/h）进行参数反演校准，模型内涝点与实际发生内涝点一致。【结果】基于水动力学的动态建模方法相较于传统推理公式法在设计精度上具有显著优势，尤其在地形高差...,内涝
